ticket_id,message
1,"My computer is smoking and the server room is on fire! Help immediately!"
2,"I forgot my password again. Can you reset it?"
3,"Get rich quick! Click here to win a million dollars now!"
4,"The latest update broke the export feature. I need this for a client meeting in 1 hour."
5,"How do I change my profile picture?"
6,"CONGRATULATIONS! You have been selected for a free vacation to the Bahamas."
7,"The system is down for everyone in our office. We can't work."
8,"I noticed a small typo on the FAQ page."
9,"Invest in Crypto now! Guaranteed 1000% returns."
10,"Payment failed for invoice #12345, but the money was deducted from my bank."
11,"Can you tell me more about your enterprise pricing?"
12,"Cheap meds without prescription! Best prices online."
13,"URGENT: Database connection error on the production site."
14,"Is there a dark mode available for the dashboard?"
15,"Your account has been suspended. Log in here to verify: bit.ly/fake-link"
16,"The mobile app crashes every time I open the 'Settings' menu."
17,"I would like to request a refund for my last month's subscription."
18,"Act now! Limited time offer on luxury watches."
19,"Our API integration is returning 500 errors consistently for the last 10 minutes."
20,"Could you add a feature to export reports as PDF?"
21,"Winner winner chicken dinner! Claim your prize."
22,"I'm having trouble logging in with my Google account."
23,"The billing address on my last receipt is incorrect."
24,"Buy followers for your social media account today!"
25,"Critical Security Vulnerability: I found an XSS bug in your login form."
